employer_name,employer_name_normalized,city,state,union_name,affiliation_code,local_number,num_employees,recognition_type,recognition_date,naics_sector,source_description,notes,agent_source
Metropolitan Museum of Art,metropolitan museum art,New York,NY,UAW Local 2110,UAW,2110,700,NLRB_ELECTION,2026-01-15,71,Met Museum workers voted to unionize with UAW Local 2110,Largest US art museum unionization,NY_DISCOVERY
American Folk Art Museum,american folk art museum,New York,NY,UAW Local 2110,UAW,2110,50,NLRB_ELECTION,2024-06-01,71,Folk Art Museum staff organized with UAW Local 2110,Part of NYC museum wave,NY_DISCOVERY
Solomon R. Guggenheim Museum,solomon guggenheim museum,New York,NY,UAW Local 2110,UAW,2110,100,NLRB_ELECTION,2023-01-01,71,Guggenheim workers ratified first contract,First contract achieved,NY_DISCOVERY
Conde Nast,conde nast,New York,NY,NewsGuild-CWA Local 31003,CWA,31003,500,NLRB_ELECTION,2022-03-01,51,Conde Nast workers organized with NewsGuild-CWA,"Vogue, GQ, Vanity Fair editorial staff",NY_DISCOVERY
New York Times (Tech Guild),new york times technology guild,New York,NY,NewsGuild-CWA Local 31003,CWA,31003,600,NLRB_ELECTION,2022-03-03,51,NYT Tech Guild organized tech workers with CWA,Tech workers separate from editorial NewsGuild unit,NY_DISCOVERY
CBS News Digital,cbs news digital,New York,NY,WGA East,UNAFF,,100,NLRB_ELECTION,2023-06-01,51,CBS News Digital staff organized with WGA East,Digital news producers and writers,NY_DISCOVERY
Lemonada Media,lemonada media,New York,NY,WGA East,UNAFF,,30,VOLUNTARY,2023-09-01,51,Podcast company Lemonada Media voluntarily recognized WGA East,Podcast workers,NY_DISCOVERY
Cannabis Industry Workers (NY - aggregate),cannabis industry workers ny aggregate,New York,NY,RWDSU/UFCW Local 338,RWDSU,338,600,VOLUNTARY,2023-06-01,44,NY cannabis LPA framework requires labor peace; 600+ workers via Local 338,Aggregate - multiple dispensaries and grow facilities under NY LPA,NY_DISCOVERY
Riverview Nursery,riverview nursery,Rensselaer,NY,United Farm Workers,UNAFF,,60,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
H&H Farms,farms,Canandaigua,NY,United Farm Workers,UNAFF,,45,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Torrey Farms,torrey farms,Elba,NY,United Farm Workers,UNAFF,,80,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Marks Farms,marks farms,Lowville,NY,United Farm Workers,UNAFF,,50,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Wafler Farms,wafler farms,Wolcott,NY,United Farm Workers,UNAFF,,40,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Ellsworth & Rose,ellsworth rose,Albion,NY,United Farm Workers,UNAFF,,35,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
LynOaken Farms,lynoaken farms,Medina,NY,United Farm Workers,UNAFF,,50,STATE_PERB,2023-01-01,11,NY PERB farm certification under Farm Laborers Fair Labor Practices Act,100% gap in federal databases - NY state jurisdiction only,NY_DISCOVERY
Home Health Aides (HHWA - aggregate NY),home health aides hhwa aggregate ny,New York,NY,1199SEIU,SEIU,1199,6700,VOLUNTARY,2022-01-01,62,HHWA voluntary recognition for home care workers across 15+ agencies,Controversial rapid recognition model; aggregate for multiple home care agencies,NY_DISCOVERY
Legal Aid Society,legal aid society,New York,NY,UAW Local 2325 (ALAA),UAW,2325,1800,COLLECTIVE_BARGAINING,2021-01-01,54,ALAA-UAW represents Legal Aid Society attorneys,Largest legal services union in US; longstanding but new contract actions 2021-2025,NY_DISCOVERY
Legal Services NYC,legal services nyc,New York,NY,UAW Local 2320 (ALAA),UAW,2320,400,COLLECTIVE_BARGAINING,2021-06-01,54,ALAA-UAW represents Legal Services NYC staff attorneys,Part of ALAA network of 35+ nonprofit legal orgs,NY_DISCOVERY
Brooklyn Defender Services,brooklyn defender services,Brooklyn,NY,UAW Local 2325 (ALAA),UAW,2325,300,COLLECTIVE_BARGAINING,2022-01-01,54,ALAA-UAW represents Brooklyn Defender Services attorneys,Public defender office,NY_DISCOVERY
Bronx Defenders,bronx defenders,Bronx,NY,UAW Local 2325 (ALAA),UAW,2325,250,COLLECTIVE_BARGAINING,2022-06-01,54,ALAA-UAW represents Bronx Defenders staff,Public defender office,NY_DISCOVERY
Neighborhood Defender Service of Harlem,neighborhood defender service harlem,New York,NY,UAW Local 2325 (ALAA),UAW,2325,150,COLLECTIVE_BARGAINING,2022-01-01,54,ALAA-UAW represents NDS Harlem staff,Public defender office,NY_DISCOVERY
New York City Council,new york city council,New York,NY,CWA Local 1180,CWA,1180,382,STATE_PUBLIC,2024-01-01,92,NYC Council staff organized - first new public unit in 50 years,Central staff of NYC Council,NY_DISCOVERY
Breaking Ground,breaking ground,New York,NY,AFSCME DC 37,AFSCME,37,250,NLRB_ELECTION,2023-01-01,62,Breaking Ground nonprofit shelter workers organized with DC 37,Homeless services nonprofit,NY_DISCOVERY
Blank Street Coffee (NY - aggregate),blank street coffee ny aggregate,New York,NY,Workers United/SEIU,WU,,200,NLRB_ELECTION,2024-01-01,72,Blank Street Coffee 19 NYC stores organizing with Workers United,Aggregate - 19 stores,NY_DISCOVERY
School of Visual Arts,school visual arts,New York,NY,UAW Local 7902,UAW,7902,1200,NLRB_ELECTION,2023-06-01,61,SVA adjunct faculty organized with UAW,Adjunct faculty,NY_DISCOVERY
Mount Sinai Graduate School,mount sinai graduate school,New York,NY,UAW Local 2110,UAW,2110,800,NLRB_ELECTION,2023-09-01,61,Mount Sinai postdocs and grad students organized,Postdoctoral researchers and grad students,NY_DISCOVERY
Volkswagen Chattanooga Assembly Plant,volkswagen chattanooga assembly plant,Chattanooga,TN,UAW,UAW,,3200,NLRB_ELECTION,2024-04-19,31,VW Chattanooga voted 73% to join UAW - historic southern auto win,"First foreign-owned auto plant in South to unionize; 2,628-985 vote",CONSTRUCTION_MFG_RETAIL
Blue Bird Corporation,blue bird,Fort Valley,GA,USW,USW,,1500,NLRB_ELECTION,2024-06-14,31,Blue Bird school bus manufacturer workers voted to join USW,Only US-owned school bus manufacturer,CONSTRUCTION_MFG_RETAIL
Ultium Cells LLC (GM/LG joint venture),ultium cells gm lg joint venture,Spring Hill,TN,UAW,UAW,,1000,NLRB_ELECTION,2023-12-01,31,EV battery plant workers organized with UAW,Part of EV battery plant organizing wave,CONSTRUCTION_MFG_RETAIL
Ultium Cells LLC (GM/LG - Lordstown),ultium cells gm lg lordstown,Lordstown,OH,UAW,UAW,,1200,NLRB_ELECTION,2022-12-09,31,First EV battery plant to unionize with UAW,Lordstown facility,CONSTRUCTION_MFG_RETAIL
BlueOval SK Battery Park,blueoval sk battery park,Glendale,KY,UAW,UAW,,800,NLRB_ELECTION,2024-10-01,31,Ford/SK EV battery plant workers organizing with UAW,Ford-SK Innovation joint venture,CONSTRUCTION_MFG_RETAIL
