method,path,module,function,description,tables_in_router,smoketest_status
GET,/,api.main,serve_frontend,,,200
GET,/api/admin/data-freshness,api.routers.organizing,get_data_freshness,Return freshness info for all data sources.,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
POST,/api/admin/refresh-freshness,api.routers.organizing,refresh_freshness,Re-query all data sources to update freshness counts and dates.,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
POST,/api/admin/refresh-scorecard,api.routers.organizing,refresh_scorecard,Refresh the mv_organizing_scorecard materialized view.,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
POST,/api/auth/login,api.routers.auth,login,Authenticate and receive a JWT token.,public.platform_users,
GET,/api/auth/me,api.routers.auth,current_user,Get the current authenticated user.,public.platform_users,400
POST,/api/auth/refresh,api.routers.auth,refresh_token,Refresh the current token (must be authenticated).,public.platform_users,
POST,/api/auth/register,api.routers.auth,register,Create a new user. First user bootstraps as admin; subsequent require admin token.,public.platform_users,
GET,/api/corporate/family/{employer_id},api.routers.corporate,get_corporate_family,Get related employers (corporate family) - ownership hierarchy + name similarity + multi-employer groups,public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/corporate/hierarchy/search,api.routers.corporate,search_corporate_hierarchy,"Search corporate hierarchy by name, EIN, or ticker",public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
