file,line,string,kind,line_text
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\App.jsx,17,@/features/scorecard/TargetsPage,string_literal,const TargetsPage = lazy(() => import('@/features/scorecard/TargetsPage').then(m => ({ default: m.TargetsPage })))
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\shared\api\admin.js,42,score-versions,string_literal,"queryKey: ['score-versions'],"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\shared\api\admin.js,43,/api/admin/score-versions,string_literal,"queryFn: () => apiClient.get('/api/admin/score-versions'),"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\shared\api\admin.js,80,/api/admin/refresh-scorecard,string_literal,"mutationFn: () => apiClient.post('/api/admin/refresh-scorecard'),"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\shared\api\employers.js,19,score_tier,string_literal,"if (score_tier) params.set('score_tier', score_tier)"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\shared\api\profile.js,50,scorecard-detail,string_literal,"queryKey: ['scorecard-detail', id],"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\admin\MatchReviewCard.jsx,50,osha,string_literal,<option value='osha'>OSHA</option>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\admin\MatchReviewCard.jsx,79,<th className='pb-2 font-medium text-right'>Score</th>,jsx_text_or_expr,<th className='pb-2 font-medium text-right'>Score</th>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\admin\MatchReviewCard.jsx,93,<ConfidenceDots confidence={match.confidence_score} />,jsx_text_or_expr,<ConfidenceDots confidence={match.confidence_score} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\admin\PlatformStatsCard.jsx,47,Scorecard Rows,string_literal,<StatItem label='Scorecard Rows' value={data?.total_scorecard_rows} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\admin\RefreshActionsCard.jsx,13,Scorecard refreshed,string_literal,"onSuccess: () => toast.success('Scorecard refreshed'),"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\admin\RefreshActionsCard.jsx,14,Failed to refresh scorecard,string_literal,"onError: (err) => toast.error(err.message || 'Failed to refresh scorecard'),"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\admin\SettingsPage.jsx,38,"<p><strong>System health:</strong> Database size, API response times (slower than 2 seconds may indicate a problem), and error rates (should be near zero).</p>",jsx_text_or_expr,"<p><strong>System health:</strong> Database size, API response times (slower than 2 seconds may indicate a problem), and error rates (should be near zero).</p>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\admin\SettingsPage.jsx,43,"<li><strong>Admin:</strong> Full access including this admin panel, score weights, and user management.</li>",jsx_text_or_expr,"<li><strong>Admin:</strong> Full access including this admin panel, score weights, and user management.</li>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,5,@/features/scorecard/QualityIndicator,string_literal,import { QualityIndicator } from '@/features/scorecard/QualityIndicator'
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,56,<QualityIndicator score={master.data_quality_score} />,jsx_text_or_expr,<QualityIndicator score={master.data_quality_score} />
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,104,OSHA Summary,string_literal,"<EnrichmentSection title=""OSHA Summary"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,108,"<p className=""font-medium"">{formatNumber(enrichment.osha_summary.establishments)}</p>",jsx_text_or_expr,"<p className=""font-medium"">{formatNumber(enrichment.osha_summary.establishments)}</p>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,112,"<p className=""font-medium"">{formatNumber(enrichment.osha_summary.total_violations)}</p>",jsx_text_or_expr,"<p className=""font-medium"">{formatNumber(enrichment.osha_summary.total_violations)}</p>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,116,"<p className=""font-medium"">{formatCurrency(enrichment.osha_summary.total_penalties)}</p>",jsx_text_or_expr,"<p className=""font-medium"">{formatCurrency(enrichment.osha_summary.total_penalties)}</p>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,124,NLRB Summary,string_literal,"<EnrichmentSection title=""NLRB Summary"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,126,"<span className=""font-medium"">{formatNumber(enrichment.nlrb_summary.participants)}</span>",jsx_text_or_expr,"<span className=""font-medium"">{formatNumber(enrichment.nlrb_summary.participants)}</span>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,154,Organizing Scorecard,string_literal,"<EnrichmentSection title=""Organizing Scorecard"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,159,"<p className=""font-medium"">{enrichment.scorecard.score_tier}</p>",jsx_text_or_expr,"<p className=""font-medium"">{enrichment.scorecard.score_tier}</p>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,164,"<p className=""text-muted-foreground"">Score</p>",jsx_text_or_expr,"<p className=""text-muted-foreground"">Score</p>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\BasicProfileView.jsx,165,"<p className=""font-medium"">{Number(enrichment.scorecard.weighted_score).toFixed(1)}</p>",jsx_text_or_expr,"<p className=""font-medium"">{Number(enrichment.scorecard.weighted_score).toFixed(1)}</p>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ComparablesCard.jsx,27,"<th className=""px-2 py-1.5 text-right font-medium"">Similarity</th>",jsx_text_or_expr,"<th className=""px-2 py-1.5 text-right font-medium"">Similarity</th>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\ComparablesCard.jsx,43,"<td className=""px-2 py-1.5 text-right font-medium"">{c.similarity_pct}%</td>",jsx_text_or_expr,"<td className=""px-2 py-1.5 text-right font-medium"">{c.similarity_pct}%</td>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\CorporateHierarchyCard.jsx,81,"<Button variant=""outline"" size=""sm"" className=""mt-2"" onClick={() => setShowAllSubs(true)}>",jsx_text_or_expr,"<Button variant=""outline"" size=""sm"" className=""mt-2"" onClick={() => setShowAllSubs(true)}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\CorporateHierarchyCard.jsx,91,"<span className=""text-muted-foreground"">Family Size</span>",jsx_text_or_expr,"<span className=""text-muted-foreground"">Family Size</span>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,10,./ScorecardSection,string_literal,import { ScorecardSection } from './ScorecardSection'
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,11,./OshaSection,string_literal,import { OshaSection } from './OshaSection'
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,12,./NlrbSection,string_literal,import { NlrbSection } from './NlrbSection'
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,16,./FinancialDataCard,string_literal,import { FinancialDataCard } from './FinancialDataCard'
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,19,./GovernmentContractsCard,string_literal,import { GovernmentContractsCard } from './GovernmentContractsCard'
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,62,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">",jsx_text_or_expr,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,75,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">",jsx_text_or_expr,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,94,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">",jsx_text_or_expr,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,104,"<Button variant=""outline"" size=""sm"" onClick={() => activeQuery.refetch()}>",jsx_text_or_expr,"<Button variant=""outline"" size=""sm"" onClick={() => activeQuery.refetch()}>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,116,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">",jsx_text_or_expr,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,129,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">",jsx_text_or_expr,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,150,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">",jsx_text_or_expr,"<Button variant=""ghost"" size=""sm"" onClick={handleBack} className=""gap-1.5"">"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,155,"<ProfileHeader employer={employer} scorecard={scorecard} sourceType=""F7"" />",jsx_text_or_expr,"<ProfileHeader employer={employer} scorecard={scorecard} sourceType=""F7"" />"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,157,"s overall organizing potential, calculated from up to 8 different factors. The score only uses factors where we actually have data -- if we",string_literal,"<p><strong>Score (0-10):</strong> This employer's overall organizing potential, calculated from up to 8 different factors. The score only uses factors where we actually have data -- if we're missing information on a factor, it's skipped rather than counted against the employer. A score of 8.0 based on 7 factors is more reliable than an 8.0 based on 3 factors. The number of factors used is shown below the score.</p>"
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,161,<li><strong>Strong (next 12%):</strong> Very promising targets with solid data across several factors. Action: worth detailed research and preliminary outreach assessment.</li>,jsx_text_or_expr,<li><strong>Strong (next 12%):</strong> Very promising targets with solid data across several factors. Action: worth detailed research and preliminary outreach assessment.</li>
C:\Users\jakew\.local\bin\Labor Data Project_real\frontend\src\features\employer-profile\EmployerProfilePage.jsx,166,"<p><strong>Factor bars:</strong> Each bar shows how this employer scored on one of 8 factors, rated 0-10. Factors are weighted by importance -- (3x) factors matter three times as much as (1x) factors in the final score. A grayed-out factor with a dash means we have no data for that factor.</p>",jsx_text_or_expr,"<p><strong>Factor bars:</strong> Each bar shows how this employer scored on one of 8 factors, rated 0-10. Factors are weighted by importance -- (3x) factors matter three times as much as (1x) factors in the final score. A grayed-out factor with a dash means we have no data for that factor.</p>"
